id,postcode
1,KY14 6AA
2,KY14 6AB
3,KY14 6AD
4,KY14 6AE
5,KY14 6AF
6,KY14 6AG
7,KY14 6AH
8,KY14 6AJ
9,KY14 6AL
10,KY14 6AN
11,KY14 6AP
12,KY14 6AQ
13,KY14 6AR
14,KY14 6AS
15,KY14 6AT
16,KY14 6AU
17,KY14 6AW
18,KY14 6AX
19,KY14 6AY
20,KY14 6AZ
21,KY14 6BA
22,KY14 6BB
23,KY14 6BD
24,KY14 6BE
25,KY14 6BF
26,KY14 6BG
27,KY14 6BH
28,KY14 6BJ
29,KY14 6BL
30,KY14 6BN
31,KY14 6BP
32,KY14 6BQ
33,KY14 6BS
34,KY14 6BT
35,KY14 6BU
36,KY14 6BW
37,KY14 6BY
38,KY14 6BZ
39,KY14 6DA
40,KY14 6DB
41,KY14 6DD
42,KY14 6DE
43,KY14 6DF
44,KY14 6DG
45,KY14 6DH
46,KY14 6DJ
47,KY14 6DL
48,KY14 6DN
49,KY14 6DP
50,KY14 6DQ
51,KY14 6DR
52,KY14 6DS
53,KY14 6DT
54,KY14 6DU
55,KY14 6DW
56,KY14 6DX
57,KY14 6DY
58,KY14 6DZ
59,KY14 6EA
60,KY14 6EB
61,KY14 6ED
62,KY14 6EE
63,KY14 6EF
64,KY14 6EG
65,KY14 6EH
66,KY14 6EJ
67,KY14 6EL
68,KY14 6EN
69,KY14 6EP
70,KY14 6EQ
71,KY14 6ER
72,KY14 6ES
73,KY14 6ET
74,KY14 6EU
75,KY14 6EW
76,KY14 6EX
77,KY14 6EY
78,KY14 6EZ
79,KY14 6HA
80,KY14 6HB
81,KY14 6HD
82,KY14 6HH
83,KY14 6HJ
84,KY14 6HL
85,KY14 6HN
86,KY14 6HP
87,KY14 6HR
88,KY14 6HS
89,KY14 6HT
90,KY14 6HU
91,KY14 6HW
92,KY14 6HX
93,KY14 6HY
94,KY14 6HZ
95,KY14 6JA
96,KY14 6JB
97,KY14 6JD
98,KY14 6JE
99,KY14 6JF
100,KY14 6JG
101,KY14 6JH
102,KY14 6JJ
103,KY14 6JL
104,KY14 6JN
105,KY14 6JP
106,KY14 6JQ
107,KY14 6JR
108,KY14 6JS
109,KY14 6JW
110,KY14 7AA
111,KY14 7AB
112,KY14 7AD
113,KY14 7AE
114,KY14 7AF
115,KY14 7AG
116,KY14 7AH
117,KY14 7AJ
118,KY14 7AL
119,KY14 7AN
120,KY14 7AP
121,KY14 7AQ
122,KY14 7AR
123,KY14 7AS
124,KY14 7AT
125,KY14 7AU
126,KY14 7AW
127,KY14 7AX
128,KY14 7AY
129,KY14 7AZ
130,KY14 7BA
131,KY14 7BB
132,KY14 7BD
133,KY14 7BE
134,KY14 7BF
135,KY14 7BG
136,KY14 7BH
137,KY14 7BJ
138,KY14 7BL
139,KY14 7BN
140,KY14 7BP
141,KY14 7BQ
142,KY14 7BS
143,KY14 7BT
144,KY14 7BU
145,KY14 7BW
146,KY14 7BX
147,KY14 7BY
148,KY14 7BZ
149,KY14 7DA
150,KY14 7DD
151,KY14 7DE
152,KY14 7DF
153,KY14 7DG
154,KY14 7DH
155,KY14 7DJ
156,KY14 7DL
157,KY14 7DP
158,KY14 7DQ
159,KY14 7DS
160,KY14 7DT
161,KY14 7DU
162,KY14 7DW
163,KY14 7DX
164,KY14 7DY
165,KY14 7DZ
166,KY14 7EA
167,KY14 7EB
168,KY14 7ED
169,KY14 7EE
170,KY14 7EF
171,KY14 7EG
172,KY14 7EH
173,KY14 7EJ
174,KY14 7EL
175,KY14 7EN
176,KY14 7EP
177,KY14 7EQ
178,KY14 7ER
179,KY14 7ES
180,KY14 7ET
181,KY14 7EU
182,KY14 7EW
183,KY14 7EX
184,KY14 7EY
185,KY14 7EZ
186,KY14 7FA
187,KY14 7FB
188,KY14 7FG
189,KY14 7FH
190,KY14 7HA
191,KY14 7HB
192,KY14 7HD
193,KY14 7HE
194,KY14 7HF
195,KY14 7HG
196,KY14 7HH
197,KY14 7HJ
198,KY14 7HL
199,KY14 7HP
200,KY14 7HQ
201,KY14 7HR
202,KY14 7HS
203,KY14 7HT
204,KY14 7HX
205,KY14 7LA
206,KY14 7LB
207,KY14 7LD
208,KY14 7LE
209,KY14 7PA
210,KY14 7PP
211,KY14 7PR
212,KY14 7PS
213,KY14 7PT
214,KY14 7PU
215,KY14 7PW
216,KY14 7PX
217,KY14 7PY
218,KY14 7PZ
219,KY14 7QA
220,KY14 7QD
221,KY14 7QE
222,KY14 7QF
223,KY14 7QG
224,KY14 7QH
225,KY14 7QJ
226,KY14 7QL
227,KY14 7QN
228,KY14 7QP
229,KY14 7QQ
230,KY14 7QR
231,KY14 7QS
232,KY14 7QT
233,KY14 7QU
234,KY14 7QW
235,KY14 7QX
236,KY14 7QY
237,KY14 7QZ
238,KY14 7RA
239,KY14 7RE
240,KY14 7RF
241,KY14 7RG
242,KY14 7RH
243,KY14 7RJ
244,KY14 7RN
245,KY14 7RP
246,KY14 7RQ
247,KY14 7RR
248,KY14 7RS
249,KY14 7RT
250,KY14 7RU
251,KY14 7RW
252,KY14 7RX
253,KY14 7SE
254,KY14 7SF
255,KY14 7SG
256,KY14 7SH
257,KY14 7SJ
258,KY14 7SL
259,KY14 7SN
260,KY14 7SQ
261,KY14 7SR
262,KY14 7SS
263,KY14 7ST
264,KY14 7SU
265,KY14 7SW
266,KY14 7SX
267,KY14 7SY
268,KY14 7SZ
269,KY14 7TA
270,KY14 7TB
271,KY14 7TD
272,KY14 7YB
