id,postcode,value
1,KY14 6AA,330
2,KY14 6AB,265
3,KY14 6AD,497
4,KY14 6AE,969
5,KY14 6AF,625
6,KY14 6AG,827
7,KY14 6AH,881
8,KY14 6AJ,314
9,KY14 6AL,412
10,KY14 6AN,760
11,KY14 6AP,744
12,KY14 6AQ,908
13,KY14 6AR,360
14,KY14 6AS,203
15,KY14 6AT,958
16,KY14 6AU,982
17,KY14 6AW,836
18,KY14 6AX,576
19,KY14 6AY,403
20,KY14 6AZ,757
21,KY14 6BA,205
22,KY14 6BB,629
23,KY14 6BD,235
24,KY14 6BE,653
25,KY14 6BF,479
26,KY14 6BG,540
27,KY14 6BH,324
28,KY14 6BJ,609
29,KY14 6BL,191
30,KY14 6BN,351
31,KY14 6BP,144
32,KY14 6BQ,823
33,KY14 6BS,999
34,KY14 6BT,806
35,KY14 6BU,859
36,KY14 6BW,249
37,KY14 6BY,817
38,KY14 6BZ,950
39,KY14 6DA,781
40,KY14 6DB,822
41,KY14 6DD,300
42,KY14 6DE,301
43,KY14 6DF,606
44,KY14 6DG,992
45,KY14 6DH,966
46,KY14 6DJ,806
47,KY14 6DL,866
48,KY14 6DN,394
49,KY14 6DP,607
50,KY14 6DQ,849
51,KY14 6DR,225
52,KY14 6DS,654
53,KY14 6DT,328
54,KY14 6DU,529
55,KY14 6DW,900
56,KY14 6DX,667
57,KY14 6DY,859
58,KY14 6DZ,785
59,KY14 6EA,295
60,KY14 6EB,770
61,KY14 6ED,464
62,KY14 6EE,482
63,KY14 6EF,973
64,KY14 6EG,224
65,KY14 6EH,778
66,KY14 6EJ,949
67,KY14 6EL,944
68,KY14 6EN,967
69,KY14 6EP,870
70,KY14 6EQ,230
71,KY14 6ER,571
72,KY14 6ES,772
73,KY14 6ET,615
74,KY14 6EU,779
75,KY14 6EW,600
76,KY14 6EX,696
77,KY14 6EY,994
78,KY14 6EZ,127
79,KY14 6HA,235
80,KY14 6HB,645
81,KY14 6HD,916
82,KY14 6HH,569
83,KY14 6HJ,910
84,KY14 6HL,645
85,KY14 6HN,837
86,KY14 6HP,747
87,KY14 6HR,527
88,KY14 6HS,561
89,KY14 6HT,176
90,KY14 6HU,935
91,KY14 6HW,227
92,KY14 6HX,834
93,KY14 6HY,761
94,KY14 6HZ,501
95,KY14 6JA,591
96,KY14 6JB,400
97,KY14 6JD,885
98,KY14 6JE,630
99,KY14 6JF,725
100,KY14 6JG,970
101,KY14 6JH,251
102,KY14 6JJ,991
103,KY14 6JL,583
104,KY14 6JN,618
105,KY14 6JP,997
106,KY14 6JQ,830
107,KY14 6JR,291
108,KY14 6JS,474
109,KY14 6JW,694
110,KY14 7AA,365
111,KY14 7AB,141
112,KY14 7AD,137
113,KY14 7AE,651
114,KY14 7AF,314
115,KY14 7AG,913
116,KY14 7AH,747
117,KY14 7AJ,698
118,KY14 7AL,578
119,KY14 7AN,243
120,KY14 7AP,384
121,KY14 7AQ,709
122,KY14 7AR,118
123,KY14 7AS,237
124,KY14 7AT,223
125,KY14 7AU,825
126,KY14 7AW,721
127,KY14 7AX,166
128,KY14 7AY,790
129,KY14 7AZ,430
130,KY14 7BA,101
131,KY14 7BB,254
132,KY14 7BD,872
133,KY14 7BE,232
134,KY14 7BF,129
135,KY14 7BG,738
136,KY14 7BH,237
137,KY14 7BJ,513
